date_time,request_count
20210422-22,2397886.0
20210422-23,2235250.0
20210423-00,2121779.0
20210423-01,2085962.0
20210423-02,2109115.0
20210423-03,2106190.0
20210423-04,2051225.0
20210423-05,1968223.0
20210423-06,1899977.0
20210423-07,1920299.0
20210423-08,1901685.0
20210423-09,1905999.0
20210423-10,1943474.0
20210423-11,1991698.0
20210423-12,2103825.0
20210423-13,2248659.0
20210423-14,2343444.0
20210423-15,2424528.0
20210423-16,2455918.0
20210423-17,2461801.0
20210423-18,2465302.0
20210423-19,2464622.0
20210423-20,2479079.0
20210423-21,2424219.0
20210423-22,2357737.0
20210423-23,2183440.0
20210424-00,2052504.0
20210424-01,1990173.0
20210424-02,2010295.0
20210424-03,2005049.0
20210424-04,1971557.0
20210424-05,1905930.0
20210424-06,1849442.0
20210424-07,1841058.0
20210424-08,1825426.0
20210424-09,1813810.0
20210424-10,1840151.0
20210424-11,1885903.0
20210424-12,1956458.0
20210424-13,2071576.0
20210424-14,2168173.0
20210424-15,2285412.0
20210424-16,2326800.0
20210424-17,2347311.0
20210424-18,2346031.0
20210424-19,2361341.0
20210424-20,2366054.0
20210424-21,2374592.0
20210424-22,2336223.0
20210424-23,2231049.0
20210425-00,2148659.0
20210425-01,2097359.0
20210425-02,2104127.0
20210425-03,2117536.0
20210425-04,2057130.0
20210425-05,1974879.0
20210425-06,1933270.0
20210425-07,1892634.0
20210425-08,1889280.0
20210425-09,1892010.0
20210425-10,1911131.0
20210425-11,1940901.0
20210425-12,2018170.0
20210425-13,2157406.0
20210425-14,2297276.0
20210425-15,2376968.0
20210425-16,2443623.0
20210425-17,2468329.0
20210425-18,2462997.0
20210425-19,2482788.0
20210425-20,2489402.0
20210425-21,2469128.0
20210425-22,2404332.0
20210425-23,2297800.0
20210426-00,2194515.0
20210426-01,2150554.0
20210426-02,2179234.0
20210426-03,2187763.0
20210426-04,2123681.0
20210426-05,2043224.0
20210426-06,1976040.0
20210426-07,1974072.0
20210426-08,1967980.0
20210426-09,1981137.0
20210426-10,2003665.0
20210426-11,2034723.0
20210426-12,2128659.0
20210426-13,2263466.0
20210426-14,2419377.0
20210426-15,2503123.0
20210426-16,2529374.0
20210426-17,2519786.0
20210426-18,2538716.0
20210426-19,2544509.0
20210426-20,2528524.0
